year,species,clutch,number_of_eggs,D4 am,D4 pm,D5 am,D5 pm,D6 am,D6 pm,D7 am,D7 pm,D8 am,D8 pm,D9 am,D9 pm,D10 am,D10 pm,D11 am
1993,callidryas,3,76,0,0,0.013157895,0,0.013157895,0,0.723684211,0.105263158,0.092105263,0,0,0,0,0,0
1993,callidryas,6,46,0,0,0,0,0.673913043,0.043478261,0.130434783,0,0.02173913,0,0.02173913,0,0,0,0
1993,callidryas,7,58,0,0,0,0,0.431034483,0,0.086206897,0,0.034482759,0,0,0,0,0,0
1993,callidryas,8,47,0,0,0.021276596,0,0.510638298,0.042553191,0.276595745,0.042553191,0,0,0,0,0,0,0
1993,callidryas,9,52,0,0,0.076923077,0,0.230769231,0,0.326923077,0,0,0,0,0,0,0,0
1993,callidryas,10,34,0,0,0,0,0.117647059,0,0,0,0.676470588,0,0,0,0,0,0
1993,callidryas,13,71,0,0,0.028169014,0.084507042,0.38028169,0.056338028,0.211267606,0.070422535,0.014084507,0,0,0,0,0,0
1993,callidryas,14,71,0,0,0,0.042253521,0.267605634,0.042253521,0.225352113,0.042253521,0.154929577,0,0,0,0,0,0
1993,callidryas,15,36,0,0,0.111111111,0,0.277777778,0.25,0.111111111,0.027777778,0,0,0,0,0,0,0
1993,callidryas,16,45,0,0,0,0.022222222,0.177777778,0.133333333,0.244444444,0.111111111,0.066666667,0,0,0,0,0,0
1993,callidryas,17,34,0,0,0,0,0.205882353,0.117647059,0.058823529,0.058823529,0.323529412,0,0.029411765,0,0,0,0
1993,callidryas,18,39,0,0,0,0,0,0.102564103,0.564102564,0.025641026,0.256410256,0,0,0,0,0,0
1993,callidryas,19,35,0,0,0,0,0,0,0.685714286,0,0,0,0,0,0,0,0
1993,callidryas,20,29,0,0,0.103448276,0.103448276,0.413793103,0.068965517,0.172413793,0,0.068965517,0,0,0,0,0,0
1993,callidryas,22,83,0,0,0,0,0,0,0.56626506,0.228915663,0.13253012,0,0,0,0,0,0
1993,callidryas,23,41,0,0,0,0,0.292682927,0,0.243902439,0.024390244,0.43902439,0,0,0,0,0,0
1993,callidryas,24,43,0,0,0,0,0.279069767,0,0.139534884,0.023255814,0.511627907,0,0,0,0,0,0
1993,callidryas,26,36,0,0,0,0,0.027777778,0,0.833333333,0,0,0,0,0,0,0,0
1993,callidryas,27,70,0,0,0,0,0.157142857,0.057142857,0.242857143,0.128571429,0.214285714,0,0,0,0,0,0
1993,callidryas,28,67,0,0,0,0.074626866,0.47761194,0.28358209,0.074626866,0.014925373,0,0,0,0,0,0,0
1993,callidryas,29,28,0,0,0,0,0,0,0,0,0.928571429,0,0,0,0,0,0
1993,callidryas,30,88,0,0,0,0,0.272727273,0.147727273,0.420454545,0.068181818,0.011363636,0,0,0,0,0,0
